dataset,slice,group,n,detected,detection_rate,usable,usable_rate,perfect,perfect_rate,good,early,late,miss,mae_sec,rmse_sec,mean_gap_sec,median_gap_sec,std_gap_sec
InstanceGM,M>=4,all,2000,1793,89.64999999999999,1714,85.7,1586,79.3,128,41,38,207,0.4110429447852761,1.0443324320670302,-0.12102621305075292,0.0,1.0372959483298814
InstanceGM,M>=4,seismic,1507,1379,91.50630391506304,1331,88.32116788321169,1243,82.48175182481752,88,25,23,128,0.3589557650471356,0.806742795217886,-0.10949963741841914,0.0,0.799277027720179
InstanceGM,M>=4,strong_motion,493,414,83.97565922920892,383,77.68762677484787,343,69.5740365111562,40,16,15,79,0.5845410628019324,1.5986105077709065,-0.15942028985507245,0.0,1.5906416085146518
InstanceGM,M<4,all,2000,1581,79.05,1469,73.45,1366,68.30000000000001,103,47,65,419,0.5815939278937381,1.9939424393930991,-0.08633776091081594,0.0,1.9920723487498602
InstanceGM,M<4,seismic,1412,1168,82.71954674220963,1101,77.97450424929178,1026,72.66288951841359,75,19,48,244,0.4430650684931507,1.258277388456683,0.0586472602739726,0.0,1.2569098954036906
InstanceGM,M<4,strong_motion,588,413,70.23809523809523,368,62.585034013605444,340,57.82312925170068,28,28,17,175,0.9733656174334141,3.2775189931723245,-0.4963680387409201,0.0,3.239714419624324
K-NET,"M>=4, d<=200 km",all,715,715,100.0,703,98.32167832167832,664,92.86713286713287,39,12,0,0,0.43356643356643354,1.1505547461012986,-0.43356643356643354,-0.5,1.0657374777405124
K-NET,"M<4, d<=200 km",all,316,316,100.0,314,99.36708860759494,314,99.36708860759494,0,2,0,0,0.20411392405063292,0.5575999654940693,-0.20411392405063292,0.0,0.5188980897321175
Iquique,blind region,all,4001,3804,95.07623094226444,3226,80.62984253936516,2979,74.45638590352411,247,575,3,197,,,,,
